"","part.x","term","rank.x","part.y","rank.y"
"110",0.3,"ufo",110,0.0638297872340425,661
"111",0.283333333333333,"aliv",111,0.191489361702128,178
"112",0.283333333333333,"begin",112,0.382978723404255,58
"113",0.283333333333333,"demand",113,0.113475177304965,352
"114",0.283333333333333,"disappear",114,0.319148936170213,82
"115",0.283333333333333,"evid",115,0.283687943262411,94
"116",0.283333333333333,"explain",116,0.361702127659574,68
"117",0.283333333333333,"file",117,0.113475177304965,355
"118",0.283333333333333,"flee",118,0.205673758865248,164
"119",0.283333333333333,"govern",119,0.113475177304965,357
"120",0.283333333333333,"group",120,0.212765957446809,157
"121",0.283333333333333,"gun",121,0.297872340425532,86
"122",0.283333333333333,"happen",122,0.212765957446809,158
"123",0.283333333333333,"make",123,0.347517730496454,71
"124",0.283333333333333,"murder",124,0.475177304964539,32
